Device,Time,Query
Iphone,2020-12-30T07:28:45.512Z[UTC],latina
Iphone,2020-12-30T07:28:57.746Z[UTC],lati
Iphone,2020-12-30T07:29:01.901Z[UTC],el 
Iphone,2020-12-30T08:09:05.805Z[UTC],you need the drug
Iphone,2020-12-30T08:19:18.513Z[UTC],asi estoy 
Iphone,2020-12-30T08:28:31.785Z[UTC],caraluna
Iphone,2020-12-30T09:24:25.527Z[UTC],getthrough
Iphone,2020-12-30T09:26:03.998Z[UTC],liquid
Iphone,2020-12-30T09:26:14.676Z[UTC],simply
Iphone,2020-12-30T09:28:15.446Z[UTC],i wish i missed
Iphone,2020-12-30T09:28:30.020Z[UTC],dreams
Iphone,2020-12-30T09:29:21.673Z[UTC],im her daddy
Iphone,2020-12-30T09:30:40.686Z[UTC],perdida
Iphone,2020-12-30T09:31:09.079Z[UTC],i
Iphone,2020-12-30T09:31:27.979Z[UTC],expensive 
Iphone,2020-12-30T09:31:40.615Z[UTC],fu
Iphone,2020-12-30T09:31:50.114Z[UTC],no me dej
Iphone,2020-12-30T09:31:56.517Z[UTC],yo
Iphone,2020-12-30T09:32:07.248Z[UTC],you need the dru
Iphone,2020-12-30T09:33:31.919Z[UTC],egyptian luvr
Iphone,2020-12-30T09:34:24.225Z[UTC],what you wo
Iphone,2020-12-30T09:40:02.921Z[UTC],hypnotize
Iphone,2020-12-30T09:44:32.283Z[UTC],forru
Iphone,2020-12-30T09:55:27.637Z[UTC],for
Iphone,2020-12-30T13:55:08.123Z[UTC],ros
Iphone,2020-12-30T13:55:09.791Z[UTC],a rose
Iphone,2020-12-30T20:36:01.329Z[UTC],saint
Iphone,2020-12-30T20:36:39.633Z[UTC],saint tr
Iphone,2020-12-30T22:38:51.399Z[UTC],true
Iphone,2020-12-31T11:33:02.414Z[UTC],eica
Iphone,2020-12-31T11:33:04.550Z[UTC],ricard
Iphone,2020-12-31T11:53:40.640Z[UTC],ric
Iphone,2020-12-31T11:53:46.877Z[UTC],voy a a bailar
Iphone,2020-12-31T12:05:38.533Z[UTC],voy a a bailar
Iphone,2020-12-31T12:11:19.797Z[UTC],jugo de tomate
Iphone,2020-12-31T12:13:33.549Z[UTC],jugo de tomate
Iphone,2020-12-31T12:25:42.589Z[UTC],jugo de tomate
Iphone,2020-12-31T12:41:54.987Z[UTC],j cole
Iphone,2021-01-15T19:24:06.543Z[UTC],girl i miss you
Iphone,2021-01-16T02:38:38.272Z[UTC],villalobo
Iphone,2021-01-16T02:52:30.499Z[UTC],villalobo
Iphone,2021-01-16T11:25:48.176Z[UTC],jugo de tomate
Iphone,2021-01-19T13:04:14.464Z[UTC],crew
Desktop,2021-01-19T15:32:59.250Z[UTC],un tiempo fuera de casa
Desktop,2021-01-20T22:14:40.401Z[UTC],radio
Iphone,2021-01-21T03:22:47.982Z[UTC],paycho
Iphone,2021-01-21T14:03:06.462Z[UTC],rock ballads
Iphone,2021-01-23T00:08:07.395Z[UTC],quieren r
Iphone,2021-01-23T00:08:08.513Z[UTC],quieren rock
Iphone,2021-01-23T00:10:03.728Z[UTC],contra 
Iphone,2021-01-23T02:33:19.205Z[UTC],ricardo villalobos
Iphone,2021-01-23T02:45:45.494Z[UTC],ñeri
Iphone,2021-01-23T02:49:09.797Z[UTC],superman
Iphone,2021-01-23T02:51:12.640Z[UTC],la manteca
Iphone,2021-01-23T03:04:02.481Z[UTC],el bloque
Iphone,2021-01-23T03:04:04.354Z[UTC],el b
Iphone,2021-01-23T03:04:08.476Z[UTC],la sensacion
Iphone,2021-01-23T03:07:47.659Z[UTC],la barca 
Iphone,2021-01-23T03:07:56.742Z[UTC],olvidala
Iphone,2021-01-23T03:16:02.598Z[UTC],give me a re
Iphone,2021-01-23T03:32:15.196Z[UTC],dakiti
Iphone,2021-01-23T03:34:00.995Z[UTC],o
Iphone,2021-01-23T03:34:32.762Z[UTC],bebesita
Iphone,2021-01-23T03:34:53.019Z[UTC],cuidao 
Iphone,2021-01-23T03:35:31.207Z[UTC],la bebesita
Iphone,2021-01-23T03:35:52.400Z[UTC],la bebesita bebe lean
Iphone,2021-01-23T03:41:58.741Z[UTC],la dictadura
Iphone,2021-01-23T03:42:05.603Z[UTC],conycaride
Iphone,2021-01-23T04:30:20.378Z[UTC],70s hits
Iphone,2021-01-23T09:19:51.575Z[UTC],puh
Iphone,2021-01-23T09:19:53.053Z[UTC],pigs
Iphone,2021-01-23T16:21:49.728Z[UTC],1915
Iphone,2021-01-24T01:09:58.324Z[UTC],jorja
Iphone,2021-01-24T01:24:45.394Z[UTC],pass
Iphone,2021-01-24T01:31:49.434Z[UTC],till it happens to
Iphone,2021-01-24T01:36:30.090Z[UTC],ana spid
Iphone,2021-01-24T01:37:45.280Z[UTC],anespi
Iphone,2021-01-24T01:50:21.788Z[UTC],andres
Iphone,2021-01-24T01:51:43.379Z[UTC],this is andres
Iphone,2021-01-24T14:35:49.277Z[UTC],persona
Iphone,2021-01-24T14:40:20.143Z[UTC],faslntñ
Iphone,2021-01-24T14:40:23.681Z[UTC],fantasm
Iphone,2021-01-25T20:08:02.876Z[UTC],personal
Iphone,2021-01-27T00:34:42.184Z[UTC],ach
Iphone,2021-01-27T00:34:43.173Z[UTC],ah
Iphone,2021-01-27T00:34:48.042Z[UTC],schindlers list
Desktop,2021-01-28T03:41:44.161Z[UTC],sum41
Iphone,2021-01-28T16:35:46.792Z[UTC],papo ruta 66
Iphone,2021-01-29T04:21:29.076Z[UTC],cantata
Desktop,2021-01-29T16:06:09.714Z[UTC],cleare
Iphone,2021-01-29T21:07:21.725Z[UTC],despa
Iphone,2021-01-29T21:09:43.641Z[UTC],guitarra
Iphone,2021-01-29T21:18:22.275Z[UTC],noct
Iphone,2021-01-29T21:22:53.988Z[UTC],inoport
Iphone,2021-01-29T21:25:54.854Z[UTC],jorge
Iphone,2021-01-29T21:28:07.467Z[UTC],charlie ans
Iphone,2021-01-29T21:28:12.919Z[UTC],charles ans
Desktop,2021-01-29T22:38:31.316Z[UTC],cleare
Iphone,2021-01-29T23:44:54.456Z[UTC],anfisa
Iphone,2021-01-30T18:45:05.997Z[UTC],atee
Iphone,2021-01-30T18:45:10.240Z[UTC],atee
Iphone,2021-01-30T18:45:12.535Z[UTC],steely dan
Iphone,2021-01-31T02:28:53.211Z[UTC],ricardo
Iphone,2021-01-31T04:29:55.107Z[UTC],lean
Iphone,2021-01-31T05:37:57.456Z[UTC],dajkiti
Iphone,2021-01-31T05:40:58.307Z[UTC],sola
Iphone,2021-01-31T05:43:55.636Z[UTC],lean
Iphone,2021-01-31T05:48:44.135Z[UTC],da
Iphone,2021-01-31T05:51:02.468Z[UTC],el rej
Iphone,2021-01-31T06:46:27.236Z[UTC],dajiti
Iphone,2021-01-31T07:52:40.877Z[UTC],ma
Iphone,2021-01-31T07:52:42.104Z[UTC],lady
Iphone,2021-01-31T08:11:57.553Z[UTC],lad
Iphone,2021-01-31T08:12:05.628Z[UTC],tu gui
Iphone,2021-01-31T08:12:07.793Z[UTC],mi guit
Desktop,2021-01-31T23:17:11.586Z[UTC],AC
Desktop,2021-01-31T23:17:13.977Z[UTC],SHOOT 
Iphone,2021-02-01T00:27:06.746Z[UTC],the rain fall down
