Date,Artist,Track,MinPlayed
2020-03-27 17:57,Axe Bahia,Beso en la Boca,1.0680833333333333
2020-03-28 00:38,Axe Bahia,Beso en la Boca,0.02275
2020-03-28 00:38,Breakbot,Baby I'm Yours,0.021683333333333332
2020-03-28 00:38,Guns N' Roses,Knockin' On Heaven's Door,0.015283333333333333
2020-03-28 00:38,Spinetta Y Los Socios Del Desierto,Cuenta en el Sol,0.028433333333333335
2020-03-28 00:42,Arctic Monkeys,When The Sun Goes Down,3.3688833333333332
2020-03-28 00:47,Soda Stereo,Prófugos - Remasterizado 2007,5.29355
2020-03-28 00:48,Soda Stereo,Pic Nic En El 4° B - Remasterizado 2007,1.6049666666666667
2020-03-28 19:41,John C,C90 (Remix),5.266666666666667
2020-03-28 19:42,WOS,CANGURO,1.0561166666666666
2020-03-28 19:42,Militantes del Climax,Skymood,0.09983333333333333
2020-03-28 19:47,Bob Marley & The Wailers,Could You Be Loved,0.015466666666666667
2020-03-28 19:47,Santana,Corazon Espinado (feat. Mana),4.4977
2020-03-28 19:50,Bob Marley & The Wailers,Three Little Birds,3.0044333333333335
2020-03-28 20:20,Steely Dan,Only A Fool Would Say That,2.5812833333333334
2020-03-28 20:22,Andrés Calamaro,Alta suciedad,2.4574333333333334
2020-03-28 20:26,Colayuta,Plata O Plomo,3.6014
2020-03-28 20:29,Jimi Hendrix,Castles Made of Sand,0.0116
2020-03-28 20:29,Calle 13,Muerte En Hawaii,3.164433333333333
2020-03-28 20:29,The Rolling Stones,If I Was A Dancer (Dance Pt. 2) - Remastered,0.06771666666666666
2020-03-28 20:29,Guns N' Roses,It's So Easy,0.4228166666666667
2020-03-28 20:34,La Vela Puerca,Zafar,4.366666666666666
2020-03-28 20:39,Guns N' Roses,November Rain,5.481483333333333
2020-03-28 20:47,Led Zeppelin,Stairway to Heaven - Remaster,8.047166666666667
2020-03-28 20:50,Led Zeppelin,The Rain Song - Remaster,3.19545
2020-03-28 20:52,John C,C90 (Remix),1.9771666666666667
2020-03-28 20:56,George Harrison,My Sweet Lord - Remastered 2014,3.9675
2020-03-28 21:02,Philip Bailey,Easy Lover,0.0561
2020-03-28 21:02,Philip Bailey,Easy Lover,4.23105
2020-03-28 21:07,John C,C90 (Remix),4.489566666666667
2020-03-28 21:46,Fritz Kalkbrenner,Facing the Sun,1.0421833333333332
2020-03-28 21:50,Bhavi,Fresko,3.354833333333333
2020-03-28 21:52,Bhavi,Fresko,2.3609333333333336
2020-03-29 00:24,Pink Floyd,The Thin Ice,2.4386833333333335
2020-03-29 00:26,Bhavi,Fresko,2.0379
2020-03-29 00:29,Arnau Griso,Es gratis - Acústico,3.3846666666666665
2020-03-29 00:33,Jorge Drexler,Quimera,3.642
2020-03-29 00:39,Dire Straits,In The Gallery,6.260433333333333
2020-03-29 00:44,La Vela Puerca,Va A Escampar,4.692216666666667
2020-03-29 00:48,La Renga,La Razón Que Te Demora,4.413966666666667
2020-03-29 00:54,Virus,Pronta Entrega,0.01625
2020-03-29 00:54,Charly García,Influencia,5.4775833333333335
2020-03-29 20:11,Rhye,Taste,0.13583333333333333
2020-03-29 20:12,Glass Animals,Flip,0.049916666666666665
2020-03-29 20:12,Childish Gambino,Redbone,0.05495
2020-03-29 20:12,Mansionair,Hold Me Down,0.049916666666666665
2020-03-29 20:12,Queen,Cool Cat - Remastered 2011,0.15015
2020-03-29 20:15,Chet Faker,Talk Is Cheap,3.63445
2020-03-29 20:19,Years & Years,Breathe,3.8871333333333333
2020-03-29 20:23,The Rolling Stones,Infamy - Remastered,3.79555
2020-03-29 20:27,Breakbot,Baby I'm Yours,3.5917666666666666
2020-03-29 20:30,Rhye,The Fall,3.744666666666667
2020-03-29 20:34,Rhye,Last Dance,3.4457666666666666
2020-03-29 20:39,Izzamuzzic,Adventure - Original Mix,5.320416666666667
2020-03-29 20:42,Yael Naim,Walk Walk - 20SYL Remix,2.94755
2020-03-29 20:46,FKJ,Joy,3.9814833333333333
2020-03-29 20:51,Jamiroquai,Little L,4.923333333333333
2020-03-29 20:55,The Whitest Boy Alive,1517,3.6871
2020-03-29 20:59,Daft Punk,Something About Us,3.8777666666666666
